nama_tempat,user,review,rating,tanggal
Unknown,Shiro Gaming,"Setiap bawa pulang . Lama bener nunggu nya ampe 30 menit lebih
Kadang ojol yg baru datang. Malah di kasih duluan. Giliran nanya suruh nunggu terus",1,seminggu lalu
Unknown,Cindy Putri Widarty,"NYESEL
Berkali kali beli slalu dikasih mie yg pucet.
Sdh order di catatan nambahin buat Bumbu agak basah juga. …",1,3 minggu lalu
Unknown,Aisyah Ilma,"di perhatikan lagi lah kalo masukin pesanan,udah tengah malam lapar pengennya makanan datang langsung makan eh malah gak bisa makan sama sekali karna gak bisa pedas dan udang udangan,",1,6 bulan lalu
Unknown,Idaa,Mo nyobain gacoan di samarinda mumpung lgi ksini kmren smpt nyobain di blikpapan emg selelet in yaaa nunggu udh 30mnitan g dtg2 mknanan nyaaa Pdhl lagi sepi g ramai2 bgt kayak di blikppan Aduhh gmn si in,1,10 bulan lalu
Unknown,Zainal Abidin,staf yg lain ok aja sih tapo team belakang kek ga profesional bekerja ada yg gunakan earpon sambil kerja teriak” ga jelas terus joget” juga,1,3 bulan lalu
Unknown,Nia Laras,"Ini bener bener mengecewakan yaaa aku pesen di shope  food. Yaahhh sudah nungguin lama + orderan salah pula,bener nihhhh nota ttpi yg dtng berbeda ,sya pesen mie gacoan level 8 dan 4 ,udng keju dan udang rambutan yg datang malah mie suit 0 …",1,setahun lalu
Unknown,Nurhaeda,"antri ga sesuai aturan gajelas karyawannya atur meja, makanan lama datang, lain kali gabakal makan gacoan lagi, nyesall sumpah!!!!",1,8 bulan lalu
Unknown,ratih purwasih,"selalu rame, tempatnya luas banget. parkirannya pun juga luas.",5,5 bulan lalu
Unknown,keizya aditya,"tempatnyaa buat nyamann bersihh, raapihh
saran: Tambahin kipas anginn panas dikitt apalagi pas makan mie level pedes",5,2 minggu lalu
Unknown,ghina safa raissa,"saya pesen 6 menu, 2 menu : gacoan lv 4 dan udang keju, ada RAMBUTNYA, yang di mie gacoan lvl 4 nya ada 2 rambutnya. mie gacoan lv 0 nya juga asin banget, gimana sih, masih dipake ngga SOP nya ini gacoan ahmad yani? diperbaiki lagi dong",1,9 bulan lalu
Unknown,Chiwa6043,"Tempatnya nyaman pelayanannya bagus cuman rasa pedasnya kurang konsisten kadang harusnya pedas malah kurang pedas,",4,Diedit 7 bulan lalu
Unknown,ALDY HURINT,"Makin hari mienya kurang enak, mienya lembek, bumbunya kurang,.

Saran : kalau mienya di perhatikan lagi. Sama waitersnya  kalau bisa pake penutup mulut yang benar. Takutnya pas ngomong malah muncrat kena makanan.
Terimakasih",4,3 minggu lalu
Unknown,Daez Wae,"Tempatnya cukup luas, bersih. Sebenarnya mienya biasa aja sih, rasa gak konsisten, kadang terlalu basah, kadang pedasnya beda-beda walau selalu pesan level yang sama, agak bingung kenapa bisa sampai banyak banget yang antri. Untuk side dish …",3,6 bulan lalu
Unknown,Ananda Fatir,knapa layanan saya kasih b1 krna pas saya tdi mau komplain krna pesanan saya kurang satu pegawai disana sangat tidak ramah dan tidak enakin hati tanpa senyum tanpa bersuara sdikitpun pdhal saya udh ngmng baik baik,1,2 minggu lalu
Unknown,Azhari Sangaji,"niat mau makan dengan tenang jadi hilang nafsu makan.

STAFF MU BAD ATTITUDE! …",1,4 bulan lalu
Unknown,Celin,Makanannya enak terus itu pelayanan nya juga cepat parkirnya luas,5,9 bulan lalu
Unknown,•Kaila Atifha Nursadira•,"terkadang pedasnya gak sesuai, level 1 pedes banget masa, tempatnya agak panas mungkin kipas bisa diperbanyak lagi, kmren makan disini diliatin karyawannya fokus banget jadi takut wkwk. overall bagus, mantap, saya tidak permasalahkan masalah diliatin karyawan 👍🏻 …",3,sebulan lalu
Unknown,Qonita Nurwahidah,enak banget! mie nya juga berasa bumbu nya,5,2 minggu lalu
Unknown,Adhimas Prayoga,"saya sudah bayar pakai qris tapi pesanan tidak datang nunggu 2,5 jam pesanan tidak kunjung datang, parahnya pelanggan yang baru datang 30 menit pesanan sudah datang, akhirnya saya tinggal, sistem input pesanan yang berantakan dan tidak …",1,4 bulan lalu
Unknown,vaelen arlen,"Udg rambutnn ny ad plastikny, kripik & pangsit jg kecut",3,2 bulan lalu
Unknown,Dunia Kuliner Samarinda,"Nunggu meja antri dulu, makanannya lumayan lama datangnya. Malah mie duluan drpd minum. Mienya enak dan pedas walo cuma level 1",5,Diedit 11 bulan lalu
Unknown,Eka Mertha (Lyan),"Penasaran karena banyak orang yang bilang mie gacoan viral, rasanya enak.

Mumpung dapat libur kerja, kesini mencoba level 1-3 bersama istri dan anak dan …",5,setahun lalu
Unknown,Lala ashari,"karyawan mending kalo lu cape istirahat dah drpd bikinkan customer makanan begini blm tentu semua org tahan aku pesen lv 1 kenapa dikasih sambel sebanyak ini? matanya masih sehat kan? ga kebalik kan antara 1 & 8 bener"" lu ye",1,11 bulan lalu
Unknown,sarah diba,"untuk pelayanan ramah dan juga karyawannya baik, tempat nya juga bersih. untuk rate menu makanan dan minumnya juga oke",5,2 minggu lalu
Unknown,Nur adinda fitriani,"Gacoan ahmad yani emang paling mantab, sekarang mie gacoannya nyemek abiezz udah gitu nagih banget, terus juga gacoan ahmad yani cepet tanggap sama ulasan” orang” yang mungkin kurang puas sama pelayanan atau mungkin makanan yang di sajikan. …",5,setahun lalu
Unknown,Jijah Cantik,"pelayanan nya lumayan lama,udang kejunya agak sedikit kamanisan🙏
tapi makanan nya semuanya tetap sukaa dann enakkk …",3,2 minggu lalu
Unknown,Muhammad Jamin,"Saat pagi hari dan orderan lagi sepi, bukannya melayani customer malah sibuk briefing.
Customer tidak dilayani.",1,2 bulan lalu
Unknown,Sari ftnnkmh,"Tempatnya nyaman, bersih, sejuk, pelayanannya oke diarahkan apabila tidak mengerti. kasir dan karyawannya ramah. makanannya enak. biasanya cuma pesan di gofood, sekarang makan di tempat pun rasanya juga masih balance.",5,setahun lalu
Unknown,Retno Wulandari,"ENAKK BANGETTT UDANG KEJU JUARAA⭐⭐⭐⭐ mie nya enak banget pedesnya sesuai level, paling suka es grobak sodor cz isiannya banyak dan enak, manis nya pas juga, lov lovvvv🫰🏻🫰🏻🫰🏻 …",5,4 minggu lalu
Unknown,Jane Octavia Ramadhani,"Tempat nyaman, hanya saja terkadang mie yang datang agak lama. Pelayanan so far bagus dan sopan",5,seminggu lalu
Unknown,Sutan Pane,"Terimakasih utk karyawan yg telah bekerja keras memberi layanan terbaik & tercepat meskipun pelanggan agak lama menunggu.
Makanan oke …",5,8 bulan lalu
Unknown,Fadhlie Muhammad (Faddddd),"lelet banget mba mas mohon maaf, tagline nya ""always ready""?mending diganti ""always late"" 🤝 …",1,2 bulan lalu
Unknown,safna,"tempatnya nyaman, walaupun rame tetapi peayanannya oke, makanannya juga enak dan harganya sangat worth it untuk kami yang mahasiswa ini",5,6 bulan lalu
Unknown,Sasa Natasya,"tempat nya nyaman, lalu makanan nya juga enak, panas dan tidak dingin, lalu suasana nya adem sekali. POKOKNYA REKOMEN BGT SIHHHH 😍💗💗 …",5,2 minggu lalu
Unknown,Ebit Setiawan,"Sumpah gedek banget makan di sini, nunggu lebih 1 jam , mana karyawan jutek” lagi.",1,6 bulan lalu
Unknown,Oktaviea Rahma,"makanan dan minuman yg harganya cukup ramah dikantong terutama dikalangan pelajar maupun mahasiswa, tetapi kurang untuk pelayanannya seperti waktu pengantaran mie sangat lama.",5,6 bulan lalu
Unknown,707 xxx,"Selalu Langganan gacoan, kali ini lebih enak tapi mie suitnya lagi dapat yang hambar, biasanya enak. Gorengan dimsum enak seperti hari biasa",5,2 minggu lalu
Unknown,Alisia Fannia Putri,Saran: lebih cepat dalam membersihkan tempat makan sebelum pelanggan baru datang kembali,5,seminggu lalu
