nama_tempat,user,review,rating,tanggal
Unknown,Mesakh Julian Hylmi,"makanan nya enak aku suka, kakak nya baik ramah Dan sangat sangat membantu semoga mie gacoan nya sukses karyawannya panjang umur, gaji nya naik 10 juta",5,2 minggu lalu
Unknown,Safa Dzauhara,"tempatnya enakk, pelayanannya juga super cepatt",5,9 bulan lalu
Unknown,Bagus Maulana Tenri,"salah satu cabang gacoan yang gede dan gak panas

parkiran luas parah dan udah gitu udah tertera biaya parkir …",5,11 bulan lalu
Unknown,Lastri Alhuda,"Sekrang ada parkir ya 3 rb buat gpjek motor mahal bgt ,biasanya gratis atau pun byr minimal 2 eb lah ni mah blm ada sejam 3 rb ,hmmm",2,2 minggu lalu
Unknown,Andryana Situmorang,"Mie rasanya enak, level 1 terasa pedasnya. Dimsum tersaji masih hangat, rasanya enak. Harganya terjangkau.
Pelayanan cepat.
Parkiran untuk mobil tersedia.",5,8 bulan lalu
Unknown,Adriana Sharadhea Ningtyas PH,Gacoan Cabang Kelapa Gading terletak di lokasi yang cukup strategis. Plang Gacoan cukup besar sehingga mudah terlihat. Bangunan terdiri dari 2 lantai. …,4,setahun lalu
Unknown,Caaa,"Kedua kali dine in disini , selalu lama nunggu padahal order ngga banyak ngga lagi rame rame bgt terus kali ini ada ketinggalan orderan tp it's ok walaupun harus ngambil sendiri wkwk lalu mie nya selalu dingin ntah knp buat apa ada kitchen …",1,5 bulan lalu
Unknown,Fitri Yani,Pelayanan nya lama banget.. Gk ada penjaga yg di depan pintu nya.. Jdi kebingungan orang yg mau beli makan ditempat atau di bawa plng.. Hampir setengah jam nunggu dsini asli.. Gk sebanding sama gacoan yg lain.. Udh gitu Manager yg dibawah nya diem aja malah main HP bukan bantuin... Heran dehh kesel bgt...,3,4 bulan lalu
Unknown,Hania Indah isyana,"HAHA sorry tapi ini bad banget 😭 makanan dihentak ke meja, sumpit dilempar. Disuruh review bagus tapi attitude karyawannya malah bikin emosi 😌 …",1,seminggu lalu
Unknown,Susani Fadhila,"pelayanannya lama. datang dari jam 9, jam 10 baru datang mienya sedangkan minuman dan snacknya belum. …",2,setahun lalu
Unknown,Ismail A Kanabawi,enak banget mie nya udang kejunya keju banget. tempatnya clean nyaman banget deh,5,7 bulan lalu
Unknown,nana (nana),"jujur ya pas awal enak n kaya biasa aja tp ga di take away ga dine in. lama lama level kepedesan nya juga ga jelas, ga konsisten dari segi level pedes n porsi. gue selalu order lv 8 tp makin kesini kocak bgt kaya makan lv 2 dan porsinya jg …",2,5 bulan lalu
Unknown,House Head,Jangan berharap banyak kalo makan dengan harga segini terutama untuk pelayanannya.. …,3,setahun lalu
Unknown,velove,"mas nya ganteng, kasir nya sat set. ga terlalu antri di jam 12 siang weekday. Makanan nya enak untuk warga menengah ke bawah. harga nya belum termasuk pajak ygy. view nya bagus eyy lrt jakarta",5,setahun lalu
Unknown,Airyx Myg,lv 3 tapi pas dateng lv 3 nya ga pedes sama sekali dan rasanya bukan kaya rasa gacoan mienya terlalu lembek udang gacoan rasanya seperti rasa umkm biasa bukan seperti gacoan pada umumnya. saya udh sering bngt padahal ke gacoan tapi baru ini pelayanan kurang dan makananya juga kurang banget,3,4 bulan lalu
Unknown,Khariza Nabilla Aulia,Dine-in gak ter urus. Meja2 pada gak di rapihin tapi udah disuruh duduk di meja. Kalo rasa makanan Gacoan selalu enak. Tapi sayang banget sama pelayanan Dine-in nya,1,setahun lalu
